kind,title,location,leaders,start,finish,lat,lon,description
"meeting","General","Redwood City","","2006-01-09","","","",""
"meeting","General","Castro Valley","","2006-02-13","","","",""
"meeting","General","Redwood City","","2006-03-20","","","",""
"meeting","General","Castro Valley","","2006-04-17","","","",""
"meeting","General","Redwood City","","2006-05-15","","","",""
"meeting","General","Castro Valley","","2006-06-19","","","",""
"meeting","General","Redwood City","","2006-07-17","","","",""
"meeting","General","Castro Valley","","2006-08-21","","","",""
"meeting","General","Redwood City","","2006-09-18","","","",""
"meeting","General","Castro Valley","","2006-10-16","","","",""
"meeting","General","Redwood City","","2006-11-20","","","",""
"training","Winter Skills","Echo Summit area, South Lake Tahoe","Denise Hart","2006-01-21","2006-01-22","","","This training will include routefinding in avalanche terrain, winter shelters, and beacon and probe line practice. Open to guests with pre-approval of trip leaders.<br>              <p>|<a href='trainings/jan06-winter' class='navover style2'>details</a> | <br>"
"meeting","General","Castro Valley","","2007-04-16","","","",""
"training","Snow Search and Rescue","Carson Pass","Tzvetie Erohina, Will Hirst","2006-02-25","2006-02-26","","","This training will focus on adapting our technical system to snow, efficiency in building snow anchors, patient packaging and patient care in winter conditions.  The weekend will include a full search and rescue scenario.  The training will emphasize building good teamwork in preparation for the CRMRA winter recertification exam.  Open to a limited number of guests with approval of the training leaders."
"meeting","BOD","Redwood City","","2006-01-12","","","",""
"meeting","Emergency Services Bureau","Redwood City","","2006-02-15","","","","This all-units ESB orientation is being put on by Sgt. John Diggins for members and trainees of ESB units including BAMRU."
"other","BASARC Search Management Class","Alameda County","John Carnes","2006-02-11","2006-02-19","","","Managing the Land Search Operation.  The Bay Area Search and Rescue Council runs this two-weekend intensive class on search management annually. Our own John Carnes will be leading."
"other","CAL-MRA Recert","Convict Lake (near Bishop, CA)","Tzvetie Erohina, Co-leader Will Hirst","2006-03-04","","","","The annual California-Region Mountain Rescue Association recertification exam will be hosted by Altadena SAR.  This year's recert is on snow and ice operations.  Open to team members and advanced trainees only."
"other","MRA Spring Conference","Marin County","TBA","2006-06-15","2006-06-18","","","The Spring 2006 semi-annual conference of the <a href='http://www.mra.org/' target='_blank'>Mountain Rescue Association</a> will be held in Marin County this June. Registration and further information will be available on the MRA website."
"other","SAREX 2006","Butte Co","TBA","2006-09-01","","","","The 2006 <a href='http://www.sarex.org/' 'arget='_blank'>Search And Rescue EXpo</a> (SAREX) will be at Camp Lassen..� Attendance is limited to 500 people."
"other","SAR CITY 2006","Barstow","TBA","2006-10-01","","","","Visit <a href='http://www.sarcity.org/' target='_blank'>SAR CITY 2006</a> for more information and registration."
